-2360.356126	2931.838825	110	191	1
-2262.554404	2573.452016	110	191	2
-489.5474375	1704.401395	110	191	1
-442.0190536	1209.954251	110	191	1
-299.0069089	844.6488942	110	191	2
-214.0048088	414.2933935	110	191	1
-80.01034895	28.69385082	110	191	2
-976.8887446	-35.58237653	110	191	2
-1284.99467	114.8387844	110	191	1
-2698.443058	-619.6037061	110	191	1
-2416.973361	-832.6965516	110	191	1
-1703.478278	-902.3168071	110	191	1
-1055.902777	-823.6463965	110	191	1
-715.3860514	-975.3340676	110	191	1
-2979.46543	-2093.925007	110	191	1
-2819.902225	-2387.108222	110	191	1
-2609.740353	-2931.839937	110	191	1
-763.7887542	-2234.771173	110	191	1
-528.800291	-1608.434614	110	191	1
2506.723216	111.7509013	110	191	1
2979.46543	915.1954035	110	191	1
2536.846553	1197.414799	110	191	1
2369.66864	1936.18166	110	191	1
