3.000 	76.700 	1.298 
3.500 	178.610 	1.119 
4.000 	323.830 	0.988 
4.500 	509.620 	0.886 
5.000 	729.470 	0.846 
5.500 	999.340 	0.846 
6.000 	1318.340 	0.847 
6.500 	1690.450 	0.847 
7.000 	2120.860 	0.847 
7.500 	2615.700 	0.847 
8.000 	3170.620 	0.803 
8.500 	3764.720 	0.755 
9.000 	4358.750 	0.711 
9.500 	4942.430 	0.669 
10.000 	5455.970 	0.632 
10.500 	5878.540 	0.597 
11.000 	6225.260 	0.565 
11.500 	6476.650 	0.469 
12.000 	6607.480 	0.398 
12.500 	6670.690 	0.344 
13.000 	6697.370 	0.301 
13.500 	6700.000 	0.266 
14.000 	6700.000 	0.236 
14.500 	6700.000 	0.211 
15.000 	6700.000 	0.190 
15.500 	6700.000 	0.172 
16.000 	6678.020 	0.156 
16.500 	6636.090 	0.142 
17.000 	6532.280 	0.130 
17.500 	6360.000 	0.119 
18.000 	6146.000 	0.110 
18.500 	5916.540 	0.101 
19.000 	5679.730 	0.094 
19.500 	5441.290 	0.087 
20.000 	5195.050 	0.081 
20.500 	4944.780 	0.076 
21.000 	4694.280 	0.071 
21.500 	4447.360 	0.066 
22.000 	4207.810 	0.062 
22.500 	3979.410 	0.058 
23.000 	3765.980 	0.055 
23.500 	3571.300 	0.052 
24.000 	3399.170 	0.049 
