3.000 	83.190 	1.240 
3.500 	198.070 	1.065 
4.000 	349.820 	0.950 
4.500 	527.670 	0.950 
5.000 	736.900 	0.950 
5.500 	991.220 	0.950 
6.000 	1289.450 	0.950 
6.500 	1633.350 	0.950 
7.000 	2024.930 	0.949 
7.500 	2451.490 	0.930 
8.000 	2895.650 	0.875 
8.500 	3350.890 	0.825 
9.000 	3800.600 	0.624 
9.500 	4205.450 	0.497 
10.000 	4534.340 	0.411 
10.500 	4771.910 	0.347 
11.000 	4908.520 	0.297 
11.500 	4966.130 	0.257 
12.000 	4989.010 	0.225 
12.500 	4999.110 	0.198 
13.000 	5000.000 	0.176 
13.500 	5000.000 	0.157 
14.000 	5000.000 	0.140 
14.500 	5000.000 	0.126 
15.000 	5000.000 	0.114 
15.500 	5000.000 	0.104 
16.000 	5000.000 	0.095 
16.500 	5000.000 	0.087 
17.000 	4863.540 	0.080 
17.500 	4648.900 	0.074 
18.000 	4412.690 	0.068 
18.500 	4139.210 	0.068 
19.000 	3864.540 	0.068 
19.500 	3584.930 	0.068 
20.000 	3349.330 	0.068 
