-3200.2319868035906	-703.7710378963485	85	116	1
-2900.1529017098965	-373.89349681717357	85	116	1
-2556.3037211506016	-325.7082873049398	85	116	1
-2232.299332364455	-348.56551642574146	85	116	1
-1883.2834604535192	-383.46849195031746	85	116	1
-1501.3788581914182	-417.7532236825566	85	116	1
-1154.271139336502	-468.7183063609967	85	116	1
-835.1594506922486	-475.5134283283293	85	116	1
-233.3573332588855	-342.07951635477474	85	116	1
-512.2412413384393	-532.3462672853992	85	116	1
-484.5192023347438	756.588628052292	85	116	1
-242.33054531869163	459.45132117446525	85	116	1
-26.22976546006366	-52.045341390498024	85	116	1
266.2460636128316	-172.81526316873158	85	116	1
556.5397484227403	166.94639494034817	85	116	1
579.104881475888	-340.2258969275178	85	116	1
879.193751969285	-639.5259451289675	85	116	1
1219.5006176262884	-737.7477596819753	85	116	1
1520.6756675506326	-756.5886280526871	85	116	1
1881.3753074002807	-726.6282670175452	85	116	1
2184.722716186518	-732.1880133495627	85	116	1
2505.742557886791	-751.9562474085823	85	116	1
2877.587768658139	-578.6767454214126	85	116	1
3200.2319868035906	-673.8106768612066	85	116	1
